id;company_name
1;AF MERCADOS EMI Enerji Mühendisliği, AR-GE, Kontrol ve Test Hizmetleri Ltd. Şti.
2;AESA Agriconsulting Europe S.A. (BE)
3;Italian Agency for New Technologies, Energy and Sustainable Economic Development (ENEA) (IT)
4; Middle East Technical University (TR)
5;EIHP Energy Institute Hrvoje Pozar (HR)
6;EUBUSINESS Association (HR)
7; BYS Grup Bilişim Sistemleri Danışmanlık Tic.ve San. Ltd. Şti. (TR)
8;International Consulting Expertise (EEIG) (BE)
9; Asunim Yenilenebilir Enerji Teknolojileri İnşaat Mühendislik Sanayi ve Ticaret Limited Şirketi (TR)
10;GFDS 3D Animasyon Yazılım İthalat İhracat Pazarlama ve Ticaret A.Ş. (TR)
11;IPCEU Uluslararası Proje Danışmanlığı A.Ş. (TR)
12;REA Danışmanlık Ltd. Şti. (REA Consultancy Ltd.) (TR)
13; Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) (DE) 
14;EDUSER Eğitim, Danışmalık ve Uzmanlık Hizmetleri Ltd. Şti. (TR)
15; Yeşil Düşünce Derneği (TR)
16;Renewables Academy (RENAC) AG (DE)
17; GFA Consulting Group GmbH (DE)
18; Ankon Danışmanlık Hizmetleri A.Ş. (TR)
19; GOPA International Energy Consultants GmbH (DE) 
20;GOPA Danışmanlık Ltd. Şti. (TR)
21;GOPA Gesellschaft für Organisation, Planung und Ausbildung mbH (DE)
22;Rast Mühendislik Hizmetleri Ltd. Şti. (TR)
23;Niras IC Sp. z o.o. (PL)
24; RTE International SASU (FR)
25;Marmara University (TR) 
26; Sweco GmbH (DE) 
27;Ankey Consulting and Trade (TR)
28;Eurac Research  (IT)
29;Allplan (AU)
30; WEglobal (TR) 
31; WEglobal (IT)
32;Stantec (former MWH) Mühendislik ve Müşavirlik Ltd. Şti. (TR)
33;NTU International A/S (DK)
34; BPR Yönetim Danışmanlık Hizmetleri Ticaret A.Ş. (TR)
35;ASAM - Sığınmacılar ve Göçmenlerle Dayanışma Derneği (TR)
36;MUDEM - Mülteci Destek Derneği (TR)
37;GDSI Limited (IE)
38;EDUCTRADE, S.A. (ES)
39;ANKON Danışmanlık Hizmetleri A.Ş. (TR)
40; İKADA İnsan Kaynakları Gelişim Danışmanlığı Ltd.Şti. (TR)
41; REA Consultancy (TR)
42; Norm Consulting (TR)
43;IBF International Consulting SA (BE)
44;Early Years-the Organisation for Young Children (UK)
45;Archidata s.r.l (IT)
46; European Profiles S.A. (GR)
47; Consultheum Limited (MT)
48; SOFRECO (FR) 
49; ANKEY Consulting (TR)
50;HIFAB International AB (SE)
51; Conseil Sante (FR)
52;Bit schulungscenter GmbH (AT)
53; KMOP-Family and Childcare Centre (GR)
54; WYG International Danışmanlık Limited Şirketi (WYG Türkiye) (TR)
55;Eptisa Servicios de Ingenieria S.L. (ES)
56;Eptisa Mühendislik ve Müşavirlik Hiz.Bil.İnş.Tic.Ltd.Şti. (TR)
57;Hulla & Co Human Dynamics KG (AT)
58;INBAS Institut für berufliche Bildung, Arbeitsmarkt- und Sozialpolitik GmbH (DE)
59; DT Global IDEV Europe S.L. (ES) 
60; Hacettepe Technopolis Technology Transfer R&D Consultancy  Energy Health Environment Communication Inc. (TR) 
61; Fondazione Giacomo Brodolini (IT) 
62;FCG International Ltd (FI) 
63;PwC Danışmanlık Hizmetleri A.Ş. (TR)
64;PwC EU Services EESV (BE) 
65;Société Française d'éxportation des Ressources éducatives (FR)
66; International Consulting Expertise EEIG (BE) 
67;European Projects Management Ltd. (SIA Eiropas Projektu Vadiba) (LV)
68; Makro Yönetim Geliştirme Danışmanlık Limited Şirketi (TR)
69;European Profiles Societe Anonyme, Studies-Business Consultants (EL) 
70; IPCEU Uluslararası Proje Danışmanlığı A.Ş. (TR) 
71;Niras IC Sp. z.o.o (PL) 
72;ATC Mountain Tourism Consultants GmbH (AT) 
73; bit schulungscenter GmbH (AT) 
74; CIDEAL Foundation for Cooperation and Research (ES) 
75;Mott MacDonald B.V. (NL) 
76;Arbetsförmedlingen (Swedish Public Employment Service) (SE)
77;Lotus İnsan Kaynakları Danışmanlık Tic. Ltd. Şti. (TR) 
78;Türkiye Ekonomi Politikaları Araştırma Vakfı (TEPAV) (TR) 
79;AYC Danışmanlık Turizm İç ve Dış Ticaret Limited Şirketi (TR) 
80;Evoluxer S.L. (ES) 
81; Internationaler Bund Freier Träger der Jugend-,Sozial-und Bildungsarbeit (DE)
82; Research Institute for Labour and Social Affairs (CZ) 
